SMILES	Solvent	Reactivity Parameters	SMARTS
C(CC)N	water	N Parameter: 13.33 s N Parameter: 0.56	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCCCC1	water	N Parameter: 18.29 s N Parameter: 0.46	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCNCC1	water	N Parameter: 17.22 s N Parameter: 0.50	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCCC1	MeOH-MeCN mix	N Parameter: 15.63 s N Parameter: 0.64	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCCC1	DMSO	N Parameter: 17.19 s N Parameter: 0.71	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCCC1	MeCN	N Parameter: 17.35 s N Parameter: 0.68	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCCC1	water	N Parameter: 18.13 s N Parameter: 0.44	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1[C@@H](CCC1)C(=O)[O-]	MeCN	N Parameter: 19.95 s N Parameter: 0.68	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C#C)N	water	N Parameter: 12.29 s N Parameter: 0.59	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCC1	MeOH-MeCN mix	N Parameter: 15.97 s N Parameter: 0.63	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCC1	water	N Parameter: 17.21 s N Parameter: 0.49	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCCC1	MeCN	N Parameter: 18.52 s N Parameter: 0.61	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N12CCC(CC1)CC2	MeCN	N Parameter: 20.54 s N Parameter: 0.60	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)(C)(C)N	MeCN	N Parameter: 12.35 s N Parameter: 0.72	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)(C)(C)N	water	N Parameter: 10.48 s N Parameter: 0.65	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)N(CC)CC	dichloromethane	N Parameter: 17.30 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)N(CC)CC	MeCN	N Parameter: 17.10 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN(C)C	MeCN	N Parameter: 23.05 s N Parameter: 0.45	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
ClC1=CC=C(N)C=C1	MeCN	N Parameter: 12.92 s N Parameter: 0.60	c[NH2]
COC1=CC=C(N)C=C1	MeCN	N Parameter: 13.42 s N Parameter: 0.73	c[NH2]
COC1=CC=C(N)C=C1	water	N Parameter: 14.28 s N Parameter: 0.68	c[NH2]
NC1=CC=CC=C1	MeCN	N Parameter: 12.64 s N Parameter: 0.68	c[NH2]
NC1=CC=CC=C1	water	N Parameter: 12.99 s N Parameter: 0.73	c[NH2]
NC1=CC=C(C=C1)C	MeCN	N Parameter: 13.19 s N Parameter: 0.69	c[NH2]
NC1=CC=C(C=C1)C	water	N Parameter: 13.00 s N Parameter: 0.79	c[NH2]
C(C1=CC=CC=C1)[C@@H]1[N-]C(OC1)=O	DMSO	N Parameter: 22.67 s N Parameter: 0.54	[O][CX3](=[O])[NX2-][CX4,c]
O1C([N-]CC1)=O	DMSO	N Parameter: 22.40 s N Parameter: 0.59	[O][CX3](=[O])[NX2-]
[N-]1C(C=CC=C1)=O	DMSO	N Parameter: 19.91 s N Parameter: 0.60	[c][nr6-][c]
[N-]1C(C=CC=C1)=O	MeCN	N Parameter: 20.11 s N Parameter: 0.57	[c][nr6-][c]
[N-]1C(C=CC=C1)=O	water	N Parameter: 12.47 s N Parameter: 0.52	[c][nr6-][c]
CC1(C)CC(=O)[N-]C(=O)C1	DMSO	N Parameter: 17.52 s N Parameter: 0.63	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
O=C1C=C[N-]C=C1	DMSO	N Parameter: 18.97 s N Parameter: 0.62	[c][nr6-][c]
O=C1C=C[N-]C=C1	MeCN	N Parameter: 20.22 s N Parameter: 0.49	[c][nr6-][c]
O=C1C=C[N-]C=C1	water	N Parameter: 14.76 s N Parameter: 0.48	[c][nr6-][c]
N#C[NH-]	DMSO	N Parameter: 20.33 s N Parameter: 0.64	[N]#C[N-]
CC(=O)[N-]C(=O)C	DMSO	N Parameter: 16.05 s N Parameter: 0.70	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
C(C)(=O)[N-]C(OCC)=O	DMSO	N Parameter: 15.99 s N Parameter: 0.70	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
O=C1CNC(=O)[N-]1	DMSO	N Parameter: 17.52 s N Parameter: 0.55	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
C1(C=CC([N-]1)=O)=O	DMSO	N Parameter: 14.87 s N Parameter: 0.76	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
CS(=O)(=O)[NH-]	DMSO	N Parameter: 18.61 s N Parameter: 0.53	[NX2H-][SX4](=[OX1])(=[OX1])[#6,O,NX3,SX2]
C[N-]C(C(F)(F)F)=O	DMSO	N Parameter: 15.70 s N Parameter: 0.71	[CX4,c][CX3](=[O])[NX2-][CX4,c]
CC1=CC=C(C=C1)S(=O)(=O)[NH-]	DMSO	N Parameter: 17.14 s N Parameter: 0.60	[NX2H-][$([CX3]([NX2-])(=[OX1])[#6,O,NX3,SX2]),$([S]([NX2-])(=[OX1])=[OX1])]
C1(C=2C(C([N-]1)=O)=CC=CC2)=O	DMSO	N Parameter: 15.52 s N Parameter: 0.67	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
S1(=O)(=O)[N-]C(=O)C2=CC=CC=C12	MeCN	N Parameter: 10.78 s N Parameter: 0.89	[#6,O,NX3,SX2][CX3](=[O])[NX2-][SX4](=[OX1])(=[OX1])[#6,O,NX3,SX2]
C1(CCC([N-]1)=O)=O	DMSO	N Parameter: 16.03 s N Parameter: 0.66	[#6,O,NX3,SX2][CX3](=[O])[NX2-][CX3](=[OX1])[#6,O,NX3,SX2]
FC(C(=O)[NH-])(F)F	DMSO	N Parameter: 15.81 s N Parameter: 0.64	[CX4,c][CX3](=[O])[NX2H-]
C1(=CC=CC=C1)C=NCC1=CC=CC=C1	dichloromethane	N Parameter: 7.90 s N Parameter: 0.76	c[CX3]=[NX2][CX4]
CC1=NCCC1	dichloromethane	N Parameter: 13.12 s N Parameter: 0.69	[CX4][CX3]([CX4])=[NX2][CX4]
C1CC2=NCCCN2C1	dichloromethane	N Parameter: 15.50 s N Parameter: 0.76	[CX4][NX2R]=[CX3R2]([CX4])[NX3R]([CX4])[CX4]
C1CC2=NCCCN2C1	MeCN	N Parameter: 16.28 s N Parameter: 0.67	[CX4][NX2R]=[CX3R2]([CX4])[NX3R]([CX4])[CX4]
N\2=C1\N(CCCCC1)CCC/2	MeCN	N Parameter: 15.29 s N Parameter: 0.70	[CX4][NX2R]=[CX3R2]([CX4])[NX3R]([CX4])[CX4]
N\2=C1\N(CCCCC1)CCC/2	THF	N Parameter: 16.12 s N Parameter: 0.67	[CX4][NX2R]=[CX3R2]([CX4])[NX3R]([CX4])[CX4]
C1(=CC=CC=C1)CN=C(C)C	dichloromethane	N Parameter: 11.13 s N Parameter: 0.73	[CX4!H0][CX3]([CX4!H0])=[NX2][CX4!H0]
CN=CC1=CC=CC=C1	dichloromethane	N Parameter: 8.60 s N Parameter: 0.77	c[CX3H]=[NX2][CX4].[CX4][CX3H]=[NX2][c]
C1(=CC=CC=C1)N=C1CCCCC1	dichloromethane	N Parameter: 8.80 s N Parameter: 1.00	[CX4!H0][CX3]([CX4!H0])=[NX2][c]
C1(=CC=CC=C1)N=C(C)C	dichloromethane	N Parameter: 9.53 s N Parameter: 0.85	[CX4!H0][CX3]([CX4!H0])=[NX2][c]
N[C@@H](C)C(=O)[O-]	water	N Parameter: 13.01 s N Parameter: 0.58	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CCCNC(N)=N)C(=O)[O-]	water	N Parameter: 12.96 s N Parameter: 0.57	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CC(N)=O)C(=O)[O-]	water	N Parameter: 13.03 s N Parameter: 0.53	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CC(=O)[O-])C(=O)[O-]	water	N Parameter: 13.81 s N Parameter: 0.53	[#6][CX4]([NX3])[CX3](=[OX1])[O]
NCCC(=O)[O-]	water	N Parameter: 13.26 s N Parameter: 0.58	[NX3H2][CX4H2][#6]
N[C@@H](C[S-])C(=O)[O-]	water	N Parameter: 23.43 s N Parameter: 0.42	[#6][CX4]([NX3])[CX3](=[OX1])[O]
NCCCC(=O)[O-]	water	N Parameter: 13.55 s N Parameter: 0.56	[NX3H2][CX4H2][#6]
N[C@@H](CCC(=O)[O-])C(=O)[O-]	water	N Parameter: 13.96 s N Parameter: 0.54	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CCC(N)=O)C(=O)[O-]	water	N Parameter: 13.45 s N Parameter: 0.54	[#6][CX4]([NX3])[CX3](=[OX1])[O]
NCC(=O)[O-]	water	N Parameter: 13.51 s N Parameter: 0.58	[CX4H2]([NX3])[CX3](=[OX1])[O]
NCC(=O)NCC(=O)[O-]	water	N Parameter: 12.91 s N Parameter: 0.59	[CX4H2]([NX3])[CX3](=[OX1])[O]
NCC(=O)NCC(=O)NCC(=O)[O-]	water	N Parameter: 12.26 s N Parameter: 0.63	[CX4H2]([NX3])[CX3](=[OX1])[O]
N[C@@H](CC1=CNC=N1)C(=O)[O-]	water	N Parameter: 13.83 s N Parameter: 0.54	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CC(C)C)C(=O)[O-]	water	N Parameter: 14.01 s N Parameter: 0.52	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CCSC)C(=O)[O-]	water	N Parameter: 13.16 s N Parameter: 0.58	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CC1=CC=CC=C1)C(=O)[O-]	water	N Parameter: 14.12 s N Parameter: 0.53	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N1[C@@H](CCC1)C(=O)[O-]	water	N Parameter: 18.08 s N Parameter: 0.50	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](CO)C(=O)[O-]	water	N Parameter: 13.16 s N Parameter: 0.55	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H]([C@H](O)C)C(=O)[O-]	water	N Parameter: 12.69 s N Parameter: 0.60	[#6][CX4]([NX3])[CX3](=[OX1])[O]
N[C@@H](C(C)C)C(=O)[O-]	water	N Parameter: 13.65 s N Parameter: 0.57	[#6][CX4]([NX3])[CX3](=[OX1])[O]
C[Si](N1C=NC=C1)(C)C	MeCN	N Parameter: 11.43 s N Parameter: 0.79	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
CN1C=NC2=C1C=CC=C2	MeCN	N Parameter: 10.37 s N Parameter: 0.82	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
CN1N=NC2=C1C=CC=C2	MeCN	N Parameter: 7.77 s N Parameter: 0.76	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
CN1C=NC=C1	MeCN	N Parameter: 11.90 s N Parameter: 0.73	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
CN1C=NC=C1	water	N Parameter: 9.91 s N Parameter: 0.55	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
C1(=CC=CC=C1)N1C=NC=C1	MeCN	N Parameter: 11.31 s N Parameter: 0.67	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
CC=1NC=C(N1)C	MeCN	N Parameter: 11.51 s N Parameter: 0.84	[n]1[c,n][n](-[CX4,c,SiX4])[c][c]1.[n]1[c,n][nH][c][c]1
CC1=NC(C)=C[N-]1	DMSO	N Parameter: 20.69 s N Parameter: 0.60	[n]1[c,n][n-][c][c]1
CC=1NC2=C(N1)C=CC(=C2)C	DMSO	N Parameter: 10.21 s N Parameter: 0.85	[n]1[c,n][nH][c][c]1
O=CC1=NC=C[N-]1	DMSO	N Parameter: 16.06 s N Parameter: 0.68	[n]1[c,n][n-][c][c]1
O=CC1=NC=C[N-]1	water	N Parameter: 11.07 s N Parameter: 0.50	[n]1[c,n][n-][c][c]1
CC=1NC2=C(N1)C=CC=C2	DMSO	N Parameter: 10.02 s N Parameter: 0.85	[n]1[c,n][nH][c][c]1
CC=1NC=CN1	MeCN	N Parameter: 11.74 s N Parameter: 0.76	[n]1[c,n][nH][c][c]1
CC=1NC=CN1	water	N Parameter: 9.45 s N Parameter: 0.54	[n]1[c,n][nH][c][c]1
O=CC1=NC=C[N-]1	DMSO	N Parameter: 21.03 s N Parameter: 0.50	[n]1[c,n][n-][c][c]1
O=CC1=C[N-]C=N1	DMSO	N Parameter: 16.40 s N Parameter: 0.67	[n]1[c,n][n-][c][c]1
CC=1N=CNC1	MeCN	N Parameter: 11.79 s N Parameter: 0.77	[n]1[c,n][nH][c][c]1
CC1=C[N-]C=N1	DMSO	N Parameter: 21.29 s N Parameter: 0.51	[n]1[c,n][n-][c][c]1
[O-][N+](=O)C1=C[N-]C=N1	DMSO	N Parameter: 14.81 s N Parameter: 0.71	[n]1[c,n][n-][c][c]1
[O-][N+](=O)C1=C[N-]C=N1	water	N Parameter: 11.37 s N Parameter: 0.53	[n]1[c,n][n-][c][c]1
CC1=CC2=C(N=CN2)C=C1C	DMSO	N Parameter: 11.08 s N Parameter: 0.71	[n]1[c,n][nH][c][c]1
COC1=CC2=C(N=CN2)C=C1	DMSO	N Parameter: 11.00 s N Parameter: 0.71	[n]1[c,n][nH][c][c]1
CC1=CC2=C(N=CN2)C=C1	DMSO	N Parameter: 10.69 s N Parameter: 0.79	[n]1[c,n][nH][c][c]1
N1=CNC2=C1C=CC=C2	DMSO	N Parameter: 10.50 s N Parameter: 0.79	[n]1[c,n][nH][c][c]1
[N-]1C=NC2=C1C=CC=C2	DMSO	N Parameter: 19.13 s N Parameter: 0.55	[n]1[c,n][n-][c][c]1
N1N=NC2=C1C=CC=C2	MeCN	N Parameter: 7.69 s N Parameter: 0.76	[n]1[c,n][nH][c][c]1
[N-]1N=NC2=C1C=CC=C2	DMSO	N Parameter: 16.29 s N Parameter: 0.65	[n]1[c,n][n-][c][c]1
[N-]1N=NC2=C1C=CC=C2	water	N Parameter: 11.52 s N Parameter: 0.67	[n]1[c,n][n-][c][c]1
N1C=NC=C1	MeOH-MeCN mix	N Parameter: 10.41 s N Parameter: 0.70	[n]1[c,n][nH][c][c]1
N1C=NC=C1	DMSO	N Parameter: 11.58 s N Parameter: 0.79	[n]1[c,n][nH][c][c]1
N1C=NC=C1	MeCN	N Parameter: 11.47 s N Parameter: 0.79	[n]1[c,n][nH][c][c]1
N1C=NC=C1	water	N Parameter: 9.63 s N Parameter: 0.57	[n]1[c,n][nH][c][c]1
[N-]1N=NC2=C1C=CC=C2	DMSO	N Parameter: 21.09 s N Parameter: 0.51	[n]1[c,n][n-][c][c]1
CN(C(=N)N(C)C)C	dichloromethane	N Parameter: 13.58 s N Parameter: 0.77	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
N1CCN2C1=NCCC2	dichloromethane	N Parameter: 16.15 s N Parameter: 0.73	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
CN1C(N(CC1)C)=N	dichloromethane	N Parameter: 12.46 s N Parameter: 0.87	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
CN1C=2N(CCC1)CCCN2	dichloromethane	N Parameter: 14.43 s N Parameter: 0.81	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
N1C=2N(CCC1)CCCN2	dichloromethane	N Parameter: 16.16 s N Parameter: 0.75	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
N1C=2N(CC1)CCN2	dichloromethane	N Parameter: 14.44 s N Parameter: 0.79	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
C(C1=CC=CC=C1)N=C(N(C)C)N(C)C	dichloromethane	N Parameter: 14.36 s N Parameter: 0.79	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
CN1C(N(CC1)C)=NCC1=CC=CC=C1	dichloromethane	N Parameter: 14.00 s N Parameter: 0.70	[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])][CX3](=[$([NX2H]),$([NX2][CX4,c])])[$([NX3H2][CX3]),$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c])]
CN(N=C)C	dichloromethane	N Parameter: 19.31 s N Parameter: 0.46	[NX2][$([NX3H2]),$([NX3H]([NX2])[CX4,c]),$([NX3]([NX2])([CX4,c])[CX4,c])]
CN(N)C	MeCN	N Parameter: 11.72 s N Parameter: 0.73	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
CN(N)C	MeCN	N Parameter: 22.41 s N Parameter: 0.45	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
CNNC	MeCN	N Parameter: 16.15 s N Parameter: 0.68	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
C(C1=CC=CC=C1)(=O)NN	MeCN	N Parameter: 12.49 s N Parameter: 0.66	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
C(=O)NN	MeCN	N Parameter: 10.35 s N Parameter: 0.76	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
NN	MeOH-MeCN mix	N Parameter: 13.47 s N Parameter: 0.70	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
NN	MeCN	N Parameter: 16.45 s N Parameter: 0.56	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
NN	water	N Parameter: 13.46 s N Parameter: 0.57	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
NO	MeOH-MeCN mix	N Parameter: 12.23 s N Parameter: 0.66	[OX2][$([NX3H2]),$([NX3H]([OX2])[CX4,c]),$([NX3H]([OX2])([CX4,c])[CX4,c])]
NO	MeCN	N Parameter: 12.80 s N Parameter: 0.63	[OX2][$([NX3H2]),$([NX3H]([OX2])[CX4,c]),$([NX3H]([OX2])([CX4,c])[CX4,c])]
NO	water	N Parameter: 11.41 s N Parameter: 0.55	[OX2][$([NX3H2]),$([NX3H]([OX2])[CX4,c]),$([NX3H]([OX2])([CX4,c])[CX4,c])]
CNN	MeCN	N Parameter: 17.73 s N Parameter: 0.58	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
CNN	water	N Parameter: 17.23 s N Parameter: 0.45	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
CN(NC=O)C	MeCN	N Parameter: 15.69 s N Parameter: 0.51	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
C=NN1CCCC1	dichloromethane	N Parameter: 17.90 s N Parameter: 0.48	[NX2][$([NX3H2]),$([NX3H]([NX2])[CX4,c]),$([NX3]([NX2])([CX4,c])[CX4,c])]
CNO	MeCN	N Parameter: 14.10 s N Parameter: 0.76	[OX2][$([NX3H2]),$([NX3H]([OX2])[CX4,c]),$([NX3H]([OX2])([CX4,c])[CX4,c])]
NNC(=O)N	water	N Parameter: 11.05 s N Parameter: 0.52	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
N(N)C(=O)OC(C)(C)C	MeCN	N Parameter: 11.40 s N Parameter: 0.70	[$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c]),$([NX3H]([NX3])[CX3]=[OX1]),$([NX3]([NX3])([CX4,c])[CX3]=[OX1]),$([NX3]([NX3])([CX3]=[OX1])[CX3]=[OX1])][$([NX3H2]),$([NX3H]([NX3])[CX4,c]),$([NX3]([NX3])([CX4,c])[CX4,c])]
